Track Name,Artist Name,Track ID,Album ID,Artist ID,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Time Signature,Mode,Duration (ms),Popularity
Coming Back (feat. SZA),James Blake,2pSsHnjAgEPjHmet7ChlHQ,1zNtJFMCNIyT0X19jpcI3j,53KwLdlmrlCelAZMaLVZqU,pop,0.653,0.496,-7.262,0.0868,0.625,0.274,0.151,0.102,86.013,10,4,0,195905,72
Motley Crew,Post Malone,40uMIn2zJLAQhNXghRjBed,4tokbQaFXRrq8keVGBD9vb,246dkjvS1zLTtiykXe5h60,pop,0.797,0.631,-3.818,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,3,4,0,184213,85
Overdrive,Conan Gray,3QyoC6OvQUmpQwQZ18iaTs,0DvIDMUOMaaVbXfDVt8jZS,4Uc8Dsxct0oMqx0P6i60ea,pop,0.568,0.788,-6.28,0.0377,0.0101,0,0.141,0.46,104.959,5,4,1,183070,74
Star Girl,Tommy Richman,15iOxEc0Zvnn0wMbK2uhPc,3njJmSyA76HMuYzDRBOYYW,1WaFQSHVGZQJTbf0BdxdNo,pop,0.752,0.759,-6.2,0.0755,0.0404,1.44e-06,0.0805,0.852,88.027,2,4,1,180000,32
Shivers,Ed Sheeran,6bQfNiqyCX7UaQSvVVGo4I,5kFCfioZraFsRWpoitQjmx,6eUKZXaKkcviH0Ku9w2n3V,pop,0.788,0.859,-2.724,0.0856,0.281,0,0.0424,0.822,141.02,2,4,1,207853,75
Skin & Bones (feat. Winona Oak),Kito,0kisDgW1eYNqJhyvkKeyxJ,1UC3Aa7Abau4Qf4jiyY5rK,3FLUBwpAnaIlIKeaBfsxFe,pop,0.667,0.592,-8.072,0.0533,0.54,2.88e-06,0.668,0.68,117.957,8,4,0,150267,54
Maniac,Conan Gray,6KfoDhO4XUWSbnyKjNp9c4,2CMlkzFI2oDAy5MbyV7OV5,4Uc8Dsxct0oMqx0P6i60ea,pop,0.628,0.639,-5.46,0.0435,0.00162,0,0.354,0.493,108.045,8,4,1,185773,82
breadwinner,Kacey Musgraves,2stbjvpFujerfDUuUUPX7o,6y9LbrjY2TpaLvtbE7FTkc,70kkdajctXSbqSMJbQO424,pop,0.866,0.508,-8.591,0.058,0.769,8.35e-06,0.11,0.476,117.951,8,4,0,200840,77
Mirror - Maliboux Remix,Sigrid,0Tfxvck4aXsRXffYakDzmF,3zHwg1E5jbfq6SrYr2M7mx,4TrraAsitQKl821DQY42cZ,pop,0.816,0.789,-4.906,0.0775,0.0723,0.000488,0.179,0.789,121.978,5,4,0,151990,47
Oxytocin,Billie Eilish,4t2OeILB07eMGTXSUbMPEu,0JGOiO34nwfUdDrD612dOp,6qqNVTkY8uBg9cP3Jd7DAH,pop,0.757,0.598,-7.777,0.058,0.0904,0.551,0.15,0.18,124.951,11,4,1,210233,78
Keep Your Head Up Princess,Anson Seabra,19pChrR4hwdINqoOFUo2Hj,5Wwvdrq2pNP4zWBh6NtdvK,2jHp7gQArCQrlMvdrIVFCg,pop,0.689,0.143,-17.374,0.264,0.97,0,0.109,0.528,85.398,6,4,1,198220,62
ily (i love you baby) (feat. Emilee),Surf Mesa,62aP9fBQKYKxi7PDXwcUAS,4MHHajvRTUHItDsvfdIC8B,1lmU3giNF3CSbkVSQmLpHQ,pop,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05,11,4,0,176547,81
Bad Day,Justus Bennetts,3wA4ronkc8ZcPXUP0fDgYA,3k1lFVPUbpxngCtvkB9JkA,4PcesEvU9iICf7dwNt5B3l,pop,0.883,0.713,-4.684,0.307,0.0125,0,0.45,0.855,89.025,9,4,1,108800,80
